2025-03-19 01:00:45,262 - INFO - 🔧 Backend Flask iniciado.
2025-03-19 01:01:56,556 - DEBUG - Intento de inicio de sesión: admin@shelly.local
2025-03-19 01:01:56,560 - DEBUG - Usuario encontrado en la base de datos
2025-03-19 01:01:56,901 - DEBUG - Contraseña correcta
2025-03-19 01:02:15,265 - DEBUG - Datos recibidos para crear usuario: {'nombre': 'papa', 'email': 'papa@papa', 'password': 'papa', 'rol': 'user'}
2025-03-19 01:02:15,655 - DEBUG - Usuario creado: <User 16>
2025-03-19 01:02:30,297 - DEBUG - Datos recibidos para actualizar rol: {'rol': 'user'}
2025-03-19 01:02:30,300 - DEBUG - Actualizando rol del usuario 9 a user
2025-03-19 01:02:30,319 - INFO - Rol del usuario 9 actualizado a user
2025-03-19 01:05:09,589 - DEBUG - Datos recibidos para crear usuario: {'nombre': 'papa', 'email': 'papa2@papa2', 'password': 'papa', 'rol': 'user'}
2025-03-19 01:05:09,592 - DEBUG - El nombre de usuario o el correo electrónico ya están en uso
2025-03-19 01:05:29,373 - DEBUG - Datos recibidos para crear usuario: {'nombre': 'papa2', 'email': 'papa@papa', 'password': 'papa', 'rol': 'user'}
2025-03-19 01:05:29,376 - DEBUG - El nombre de usuario o el correo electrónico ya están en uso
2025-03-19 01:05:36,856 - DEBUG - Datos recibidos para crear usuario: {'nombre': 'papa2', 'email': 'papa2@papa', 'password': 'papa', 'rol': 'user'}
2025-03-19 01:05:37,213 - DEBUG - Usuario creado: <User 17>
2025-03-19 01:23:13,294 - DEBUG - Intento de inicio de sesión: admin@shelly.local
2025-03-19 01:23:13,300 - DEBUG - Usuario encontrado en la base de datos
2025-03-19 01:23:13,642 - DEBUG - Contraseña correcta
2025-03-19 01:27:28,671 - DEBUG - Intento de inicio de sesión: admin@shelly.local
2025-03-19 01:27:28,674 - DEBUG - Usuario encontrado en la base de datos
2025-03-19 01:27:29,013 - DEBUG - Contraseña correcta
2025-03-19 04:11:10,585 - DEBUG - Intento de inicio de sesión: admin@shelly.local
2025-03-19 04:11:10,594 - DEBUG - Usuario encontrado en la base de datos
2025-03-19 04:11:10,934 - DEBUG - Contraseña correcta
